age,annual_income,loan_amount,loan_term_months,credit_score,existing_loans_count,debt_to_income_ratio,credit_utilization,missed_payments_last_12m,employment_years,employment_type,monthly_installment,installment_to_income_ratio,default
41,38482.99,3631.53,36,739.0,3,0.333,0.456,0,10.4,business_owner,100.88,0.031,0
53,17494.66,5200.02,60,742.0,1,0.236,0.992,1,17.7,self_employed,86.67,0.059,0
32,65480.25,9538.12,36,641.0,2,0.119,0.72,0,19.5,salaried,264.95,0.049,0
42,98221.66,7018.43,12,675.0,2,0.715,0.051,3,26.3,salaried,584.87,0.071,1
64,42113.35,7711.15,48,713.0,1,0.746,0.859,0,7.1,salaried,160.65,0.046,1
45,34457.48,54546.12,12,794.0,1,0.51,0.53,1,26.7,salaried,4545.51,1.583,1
47,39394.06,20424.98,12,730.0,2,0.184,0.453,0,11.7,salaried,1702.08,0.518,0
62,74989.45,2845.78,60,690.0,0,0.274,0.758,1,27.7,salaried,47.43,0.008,0
48,39056.69,11063.5,24,734.0,1,0.862,0.775,2,12.3,salaried,460.98,0.142,0
36,57778.97,12661.28,12,754.0,0,0.242,0.796,1,3.1,salaried,1055.11,0.219,0
35,49707.02,5507.35,60,674.0,1,0.098,0.761,0,1.6,salaried,91.79,0.022,0
64,47207.6,18409.68,48,733.0,0,0.518,0.641,0,29.0,salaried,383.54,0.097,0
23,69608.79,3925.18,60,589.0,0,0.273,0.676,0,3.6,salaried,65.42,0.011,0
57,38588.52,25800.99,60,743.0,2,0.864,0.859,0,16.2,business_owner,430.02,0.134,0
27,39525.71,31726.83,36,590.0,2,0.539,0.691,1,15.8,salaried,881.3,0.268,0
41,73042.84,54805.79,24,559.0,4,0.871,0.101,1,12.0,salaried,2283.57,0.375,0
29,29927.63,5194.74,24,638.0,0,0.718,0.646,0,12.5,salaried,216.45,0.087,0
59,31567.71,5869.13,48,529.0,2,0.665,0.17,0,14.3,self_employed,122.27,0.046,1
38,26103.97,20243.79,60,596.0,6,0.756,0.014,0,3.0,self_employed,337.4,0.155,1
24,74944.68,27162.92,48,684.0,0,0.564,0.214,0,23.7,self_employed,565.89,0.091,0
45,46508.09,21706.6,48,675.0,0,0.059,0.154,0,11.3,salaried,452.22,0.117,0
34,25417.48,25535.63,24,708.0,0,0.384,0.102,1,7.3,salaried,1063.98,0.502,0
29,75124.67,30518.75,24,709.0,1,0.236,0.215,1,9.5,salaried,1271.61,0.203,0
46,37131.8,15083.4,24,684.0,1,0.419,0.564,0,18.4,salaried,628.48,0.203,0
22,31702.82,11760.13,12,573.0,2,0.45,0.151,0,23.3,salaried,980.01,0.371,0
40,44451.8,5878.72,60,733.0,0,0.159,0.279,0,4.6,salaried,97.98,0.026,0
48,102678.89,11171.67,48,640.0,0,0.07,0.85,0,17.8,self_employed,232.74,0.027,0
27,40236.06,12247.38,60,672.0,2,0.167,0.888,0,12.7,salaried,204.12,0.061,1
64,65360.24,7556.7,48,659.0,1,0.779,0.333,1,25.9,self_employed,157.43,0.029,1
28,70512.13,13056.81,48,792.0,0,0.692,0.899,3,28.5,salaried,272.02,0.046,0
55,61183.73,7062.63,48,542.0,1,0.729,0.586,0,20.4,salaried,147.14,0.029,0
34,92552.92,26055.9,48,619.0,2,0.285,0.226,0,17.7,salaried,542.83,0.07,0
37,34421.68,17248.75,36,698.0,3,0.251,0.754,1,23.4,salaried,479.13,0.167,0
56,29095.32,10139.94,36,652.0,1,0.082,0.922,0,14.9,business_owner,281.67,0.116,0
60,28811.12,14962.53,12,606.0,1,0.451,0.659,0,1.7,salaried,1246.88,0.519,0
24,45604.69,6883.94,24,477.0,0,0.375,0.201,0,21.0,self_employed,286.83,0.075,1
22,30530.35,7315.75,48,624.0,1,0.761,0.086,0,17.4,salaried,152.41,0.06,0
26,52773.82,9133.34,60,683.0,1,0.63,0.229,1,4.5,self_employed,152.22,0.035,0
62,50944.61,11906.54,36,699.0,1,0.173,0.339,1,6.4,salaried,330.74,0.078,0
24,81575.7,14540.91,24,635.0,3,0.889,0.334,0,6.9,business_owner,605.87,0.089,1
49,56702.42,14575.45,12,666.0,1,0.705,0.499,1,22.0,business_owner,1214.62,0.257,0
38,39812.02,6055.57,24,547.0,2,0.662,0.505,0,15.6,business_owner,252.32,0.076,1
46,60199.82,12728.04,48,685.0,3,0.234,0.471,1,1.4,salaried,265.17,0.053,1
64,29287.12,8177.7,24,651.0,2,0.819,0.344,0,25.1,salaried,340.74,0.14,0
54,48094.82,1727.83,48,665.0,2,0.453,0.107,1,19.3,salaried,36.0,0.009,1
30,57509.22,84571.39,36,630.0,2,0.303,0.418,0,22.0,business_owner,2349.21,0.49,0
56,52295.14,8273.47,36,669.0,1,0.607,0.986,1,28.1,salaried,229.82,0.053,0
34,60326.85,8553.61,48,707.0,0,0.23,0.654,0,7.8,self_employed,178.2,0.035,0
51,35524.47,5955.9,60,673.0,2,0.821,0.44,1,17.7,salaried,99.26,0.034,1
35,87204.89,7083.36,36,486.0,3,0.776,0.083,0,22.8,salaried,196.76,0.027,1
28,121915.62,11929.82,60,675.0,2,0.445,0.213,0,15.4,salaried,198.83,0.02,0
34,21997.01,30064.13,48,615.0,0,0.212,0.575,0,14.6,business_owner,626.34,0.342,0
43,26694.18,11889.26,48,586.0,3,0.472,0.498,0,27.9,business_owner,247.69,0.111,0
60,50088.24,11002.33,36,771.0,0,0.177,0.019,0,7.3,salaried,305.62,0.073,0
41,43119.24,27451.18,60,566.0,1,0.279,0.086,0,19.6,salaried,457.52,0.127,0
36,126526.39,9753.31,48,576.0,2,0.46,0.356,1,29.1,business_owner,203.19,0.019,1
38,54714.94,13530.34,36,448.0,1,0.068,0.141,0,6.6,salaried,375.84,0.082,0
44,98348.51,7685.25,48,780.0,2,0.701,0.958,1,13.9,salaried,160.11,0.02,0
46,17596.2,36720.12,24,730.0,2,0.217,0.034,0,29.3,self_employed,1530.0,1.043,0
45,73650.39,25061.95,24,620.0,2,0.787,0.974,0,1.1,self_employed,1044.25,0.17,1
61,34277.4,12188.01,36,705.0,1,0.069,0.657,0,18.9,salaried,338.56,0.119,0
49,34003.84,10512.64,48,450.0,3,0.502,0.407,1,12.1,salaried,219.01,0.077,1
35,43296.24,13106.93,36,693.0,0,0.71,0.539,0,23.1,salaried,364.08,0.101,1
21,24045.62,12295.28,12,573.0,1,0.252,0.41,0,9.7,salaried,1024.61,0.511,0
45,61168.81,5281.2,36,801.0,2,0.651,0.573,0,11.2,salaried,146.7,0.029,0
27,53925.43,25580.88,36,683.0,3,0.663,0.152,0,15.5,salaried,710.58,0.158,0
29,55999.39,11657.64,24,662.0,0,0.592,0.12,0,10.4,business_owner,485.73,0.104,0
44,76383.01,41731.2,24,576.0,1,0.36,0.529,1,7.8,salaried,1738.8,0.273,1
21,104546.9,17207.31,48,577.0,3,0.717,0.071,2,10.7,self_employed,358.49,0.041,0
64,40869.71,2943.48,36,703.0,2,0.584,0.292,0,27.2,salaried,81.76,0.024,0
28,62235.16,6192.08,36,575.0,2,0.552,0.927,0,10.3,business_owner,172.0,0.033,1
44,56754.72,3686.26,48,572.0,0,0.746,0.876,0,27.0,self_employed,76.8,0.016,0
31,59207.72,6146.09,60,777.0,4,0.258,0.831,0,6.2,salaried,102.43,0.021,0
37,59652.95,5013.25,48,676.0,2,0.248,0.507,2,20.2,salaried,104.44,0.021,1
28,108581.0,15545.72,24,551.0,2,0.378,0.028,0,22.3,salaried,647.74,0.072,0
55,38954.97,11051.8,24,700.0,4,0.112,0.121,1,3.3,salaried,460.49,0.142,0
55,22859.73,20833.63,36,625.0,0,0.337,0.919,0,16.3,salaried,578.71,0.304,0
53,34581.12,13057.79,24,491.0,0,0.395,0.836,0,0.4,salaried,544.07,0.189,1
25,71584.47,11565.88,48,605.0,3,0.471,0.377,0,27.8,salaried,240.96,0.04,1
62,49595.96,44441.29,36,556.0,1,0.266,0.729,1,15.7,self_employed,1234.48,0.299,1
59,38800.96,15270.74,48,673.0,3,0.821,0.855,1,1.1,salaried,318.14,0.098,1
61,28616.86,12729.7,48,591.0,2,0.292,0.62,1,20.5,salaried,265.2,0.111,1
48,54756.05,8005.91,36,658.0,1,0.774,0.854,1,26.6,salaried,222.39,0.049,1
27,67660.18,6597.54,60,710.0,1,0.428,0.245,0,22.1,self_employed,109.96,0.02,0
29,57121.51,21211.54,24,862.0,0,0.66,0.462,0,4.0,salaried,883.81,0.186,0
28,43188.73,20463.9,12,828.0,0,0.144,0.579,1,16.2,self_employed,1705.32,0.474,0
32,52750.08,34301.6,12,670.0,1,0.513,0.631,1,22.0,self_employed,2858.47,0.65,0
54,52597.37,17807.0,12,645.0,3,0.867,0.987,0,24.0,salaried,1483.92,0.339,1
53,53897.99,10552.71,24,596.0,1,0.616,0.846,1,0.5,salaried,439.7,0.098,1
43,27115.14,18153.27,60,502.0,0,0.747,0.055,0,8.5,salaried,302.55,0.134,1
44,54103.99,12731.31,48,444.0,6,0.272,0.169,1,26.5,self_employed,265.24,0.059,1
57,39328.38,22454.16,36,574.0,1,0.73,0.657,0,7.8,self_employed,623.73,0.19,0
55,82479.85,29750.44,60,797.0,3,0.349,0.241,1,14.2,business_owner,495.84,0.072,0
64,52389.39,12074.68,12,794.0,0,0.462,0.159,1,20.9,salaried,1006.22,0.23,0
60,74439.32,38345.24,24,656.0,1,0.21,0.667,0,29.6,business_owner,1597.72,0.258,0
42,42155.03,27255.44,24,692.0,1,0.463,0.536,0,12.8,self_employed,1135.64,0.323,1
47,42922.14,13502.24,36,596.0,1,0.488,0.805,0,15.1,salaried,375.06,0.105,0
55,103479.17,19979.18,48,647.0,0,0.579,0.319,0,16.8,salaried,416.23,0.048,0
21,60971.85,16047.34,60,580.0,0,0.788,0.33,2,7.0,self_employed,267.46,0.053,1
55,34294.58,13537.2,60,580.0,5,0.309,0.15,0,11.1,salaried,225.62,0.079,0
57,76763.71,42103.54,60,705.0,1,0.887,0.652,0,13.0,self_employed,701.73,0.11,0
34,37546.96,18225.24,48,596.0,0,0.771,0.709,1,0.6,business_owner,379.69,0.121,1
23,54876.97,8066.05,48,694.0,0,0.392,0.138,0,0.2,salaried,168.04,0.037,0
21,122803.07,7209.96,48,637.0,1,0.243,0.254,1,6.7,business_owner,150.21,0.015,0
25,23965.22,7388.96,36,778.0,2,0.111,0.154,0,15.4,salaried,205.25,0.103,0
46,44896.23,17920.54,24,700.0,2,0.249,0.748,0,28.7,salaried,746.69,0.2,0
34,60122.28,10884.46,12,672.0,1,0.802,0.209,3,29.2,self_employed,907.04,0.181,1
59,71850.95,16317.22,48,521.0,0,0.298,0.152,2,19.4,salaried,339.94,0.057,1
47,26354.2,23431.53,24,606.0,1,0.167,0.07,2,24.8,salaried,976.31,0.445,0
29,22745.1,45126.64,48,645.0,0,0.069,0.831,1,27.0,self_employed,940.14,0.496,0
35,84573.37,11035.98,12,655.0,3,0.303,0.124,1,25.2,salaried,919.66,0.13,0
35,34193.56,5738.02,48,710.0,2,0.234,0.03,2,16.3,self_employed,119.54,0.042,0
46,33485.2,39161.18,24,669.0,2,0.137,0.064,0,21.1,self_employed,1631.72,0.585,0
62,106417.45,5573.28,36,557.0,2,0.858,0.367,0,0.1,salaried,154.81,0.017,0
33,50759.35,5443.31,12,703.0,0,0.277,0.597,1,19.4,business_owner,453.61,0.107,0
52,50925.5,38556.12,24,608.0,0,0.055,0.398,0,12.8,self_employed,1606.5,0.379,0
59,44806.13,25329.85,60,592.0,1,0.853,0.455,0,19.3,salaried,422.16,0.113,0
52,26582.52,17870.46,60,551.0,1,0.542,0.919,2,20.8,business_owner,297.84,0.134,0
24,68723.64,12965.5,60,618.0,3,0.12,0.759,0,2.9,self_employed,216.09,0.038,0
50,60157.73,11573.55,36,600.0,3,0.077,0.341,1,26.2,self_employed,321.49,0.064,0
57,53334.87,9040.81,48,754.0,0,0.142,0.154,0,5.3,salaried,188.35,0.042,0
43,46251.01,11273.09,48,626.0,0,0.553,0.749,1,0.3,salaried,234.86,0.061,0
59,42354.93,12985.01,48,698.0,0,0.103,0.574,0,12.9,business_owner,270.52,0.077,0
35,77361.28,5856.63,36,488.0,5,0.533,0.962,1,2.7,salaried,162.68,0.025,1
63,45677.15,8167.05,60,717.0,0,0.605,0.908,0,28.7,salaried,136.12,0.036,0
49,47475.52,3762.54,48,708.0,4,0.175,0.564,0,8.5,salaried,78.39,0.02,0
56,63891.82,13999.21,36,519.0,0,0.465,0.07,1,6.7,salaried,388.87,0.073,1
33,54392.44,14000.67,36,572.0,2,0.869,0.031,1,7.9,salaried,388.91,0.086,1
52,111428.46,38836.25,24,590.0,1,0.761,0.838,1,8.5,self_employed,1618.18,0.174,0
27,20319.1,16736.26,48,632.0,1,0.665,0.698,2,1.9,salaried,348.67,0.206,1
42,56951.41,9569.87,60,587.0,0,0.49,0.56,0,16.2,salaried,159.5,0.034,0
48,34447.69,11846.49,12,628.0,4,0.385,0.689,1,0.5,salaried,987.21,0.344,1
22,30606.16,17891.72,36,709.0,1,0.434,0.54,0,22.4,business_owner,496.99,0.195,0
62,39005.89,15314.69,24,600.0,1,0.7,0.578,0,23.0,self_employed,638.11,0.196,1
26,50379.5,18901.03,12,677.0,0,0.521,0.226,2,12.0,self_employed,1575.09,0.375,1
48,51510.17,16751.23,36,666.0,2,0.7,0.456,2,29.1,salaried,465.31,0.108,0
48,22956.28,11480.59,24,384.0,0,0.874,0.011,0,23.5,salaried,478.36,0.25,1
64,37401.2,9686.84,48,577.0,0,0.594,0.669,0,3.7,salaried,201.81,0.065,0
64,56421.79,9379.32,24,739.0,2,0.563,0.332,1,29.4,salaried,390.8,0.083,0
40,31619.67,7668.2,36,569.0,0,0.395,0.656,0,25.4,salaried,213.01,0.081,0
50,28074.25,6979.47,48,554.0,0,0.217,0.926,1,21.1,salaried,145.41,0.062,0
31,15866.0,40258.58,60,743.0,1,0.368,0.592,0,19.6,self_employed,670.98,0.507,0
48,35185.99,14397.73,24,664.0,0,0.492,0.328,1,18.1,salaried,599.91,0.205,0
45,27589.36,12171.09,12,781.0,0,0.08,0.207,1,29.7,salaried,1014.26,0.441,0
59,29972.44,9921.6,48,608.0,0,0.454,0.252,1,14.4,salaried,206.7,0.083,1
53,42791.29,17280.39,48,758.0,1,0.783,0.987,0,5.0,salaried,360.01,0.101,0
21,36318.61,27507.07,60,570.0,3,0.88,0.615,0,8.8,salaried,458.45,0.151,0
47,27361.2,20618.8,24,419.0,0,0.777,0.441,0,11.3,salaried,859.12,0.377,1
33,17018.89,23224.28,12,711.0,1,0.196,0.231,0,9.5,business_owner,1935.36,1.365,0
61,57019.9,9396.41,60,702.0,1,0.182,0.773,0,0.9,business_owner,156.61,0.033,0
23,71425.74,13326.67,24,711.0,0,0.384,0.387,0,2.2,self_employed,555.28,0.093,0
59,40200.21,9470.84,12,631.0,0,0.242,0.301,0,0.1,salaried,789.24,0.236,1
26,42920.81,14245.82,12,782.0,1,0.625,0.222,2,20.4,self_employed,1187.15,0.332,0
28,49089.74,28668.51,36,728.0,0,0.122,0.186,0,19.9,salaried,796.35,0.195,0
47,107946.58,17389.86,12,724.0,0,0.427,0.273,0,2.0,salaried,1449.16,0.161,0
29,22384.99,35455.32,24,661.0,2,0.288,0.627,2,9.5,salaried,1477.3,0.792,1
57,39845.12,11236.09,60,529.0,1,0.556,0.24,0,8.5,salaried,187.27,0.056,1
53,20723.29,8232.32,60,656.0,3,0.728,0.061,1,13.6,self_employed,137.21,0.079,0
62,58756.63,18165.46,36,682.0,0,0.835,0.359,0,10.8,business_owner,504.6,0.103,0
64,45616.32,14347.27,24,833.0,1,0.869,0.585,0,24.6,salaried,597.8,0.157,0
44,54257.48,16213.85,12,674.0,1,0.349,0.06,1,26.5,salaried,1351.15,0.299,1
35,52921.31,14822.95,36,556.0,1,0.777,0.453,1,6.2,salaried,411.75,0.093,1
52,80447.02,9990.0,48,692.0,0,0.553,0.052,2,3.6,salaried,208.12,0.031,1
52,64155.59,15024.56,24,763.0,1,0.638,0.768,1,25.2,salaried,626.02,0.117,0
44,74254.52,23957.16,36,804.0,1,0.773,0.872,0,15.0,salaried,665.48,0.108,0
61,28774.15,25480.4,60,640.0,1,0.161,0.964,3,9.7,salaried,424.67,0.177,1
32,89017.25,9959.58,36,632.0,1,0.855,0.691,0,1.5,self_employed,276.65,0.037,0
59,34160.27,15345.9,48,523.0,1,0.515,0.632,0,18.2,salaried,319.71,0.112,1
22,35156.52,32411.44,24,596.0,1,0.336,0.694,0,6.2,self_employed,1350.48,0.461,0
23,56129.75,10089.65,36,689.0,0,0.338,0.855,0,1.1,self_employed,280.27,0.06,0
57,57008.7,9048.3,12,513.0,1,0.688,0.807,0,13.3,business_owner,754.02,0.159,1
37,28683.34,21517.93,24,834.0,1,0.627,0.438,0,17.9,salaried,896.58,0.375,0
22,44952.44,19367.96,36,618.0,2,0.67,0.651,1,5.1,salaried,538.0,0.144,1
22,103168.38,8085.39,36,661.0,0,0.265,0.162,0,19.5,self_employed,224.59,0.026,0
48,23525.3,5769.4,24,681.0,1,0.195,0.695,0,5.7,self_employed,240.39,0.123,0
43,103012.91,15167.85,60,752.0,0,0.664,0.731,1,0.6,business_owner,252.8,0.029,0
57,43440.64,10392.52,12,674.0,1,0.304,0.801,0,4.5,self_employed,866.04,0.239,0
52,15231.53,4863.7,24,554.0,1,0.239,0.818,0,17.6,salaried,202.65,0.16,0
53,24751.32,8845.63,12,688.0,1,0.232,0.44,0,19.1,salaried,737.14,0.357,0
21,30280.56,19178.9,12,751.0,0,0.176,0.904,0,25.9,self_employed,1598.24,0.633,0
39,35883.59,12199.54,24,569.0,1,0.413,0.981,1,1.9,salaried,508.31,0.17,1
22,46520.27,34189.11,36,722.0,1,0.272,0.978,1,28.6,self_employed,949.7,0.245,0
64,12686.07,3818.67,60,673.0,1,0.81,0.586,0,15.7,salaried,63.64,0.06,0
46,53820.1,29815.85,12,659.0,1,0.636,0.559,0,7.4,self_employed,2484.65,0.554,1
52,28924.8,10868.87,12,592.0,1,0.682,0.457,1,11.0,self_employed,905.74,0.376,1
26,98249.09,9966.13,36,630.0,3,0.393,0.3,0,1.7,business_owner,276.84,0.034,0
52,42826.47,5267.36,24,689.0,2,0.56,0.334,0,3.3,business_owner,219.47,0.061,0
24,78544.69,17659.85,60,612.0,3,0.476,0.216,0,26.5,self_employed,294.33,0.045,0
31,85406.24,4464.64,12,562.0,3,0.192,0.956,0,3.2,salaried,372.05,0.052,0
37,84257.82,21823.49,12,558.0,2,0.091,0.62,2,1.7,salaried,1818.62,0.259,1
58,36930.63,5388.28,24,675.0,2,0.631,0.934,1,17.9,salaried,224.51,0.073,0
44,36695.15,5922.87,36,694.0,1,0.153,0.387,0,11.5,self_employed,164.52,0.054,0
25,43805.44,6537.25,48,644.0,3,0.099,0.298,0,12.2,salaried,136.19,0.037,0
54,67381.02,8694.36,36,813.0,0,0.426,0.133,0,3.6,salaried,241.51,0.043,0
26,37973.82,23511.51,12,497.0,1,0.677,0.3,0,1.3,business_owner,1959.29,0.619,1
42,46183.08,32937.72,12,684.0,1,0.704,0.89,0,26.0,self_employed,2744.81,0.713,0
31,56207.02,9250.6,60,484.0,2,0.792,0.582,1,11.7,self_employed,154.18,0.033,1
36,31180.68,12991.65,36,641.0,3,0.219,0.452,0,3.3,salaried,360.88,0.139,1
53,30210.53,17924.98,48,673.0,2,0.888,0.568,1,6.0,business_owner,373.44,0.148,0
29,45291.2,10964.44,60,634.0,1,0.699,0.893,0,3.1,salaried,182.74,0.048,0
26,48391.98,17508.72,48,474.0,0,0.184,0.193,0,14.3,salaried,364.77,0.09,0
36,60897.22,13327.07,60,641.0,0,0.765,0.966,0,24.1,salaried,222.12,0.044,0
49,68592.83,11474.98,36,650.0,0,0.474,0.666,0,11.8,salaried,318.75,0.056,0
23,28295.8,5699.37,12,731.0,1,0.107,0.855,0,18.6,salaried,474.95,0.201,0
40,32661.67,14609.48,48,522.0,0,0.162,0.525,0,20.3,self_employed,304.36,0.112,0
56,30170.62,23742.58,36,780.0,0,0.419,0.237,0,21.4,self_employed,659.52,0.262,0
39,99332.06,8375.23,48,423.0,0,0.501,0.567,1,18.2,salaried,174.48,0.021,1
46,46159.81,4101.21,36,533.0,4,0.855,0.068,1,16.6,salaried,113.92,0.03,1
23,49417.74,11028.85,60,666.0,1,0.233,0.852,0,14.4,business_owner,183.81,0.045,0
39,50457.53,33052.83,36,678.0,1,0.453,0.65,1,14.2,salaried,918.13,0.218,0
40,34274.78,27644.17,60,786.0,3,0.242,0.283,0,10.0,self_employed,460.74,0.161,0
52,107166.05,9430.67,12,667.0,4,0.525,0.274,3,15.1,business_owner,785.89,0.088,0
27,60205.16,17558.77,60,641.0,0,0.823,0.903,0,14.4,business_owner,292.65,0.058,0
61,50000.85,19305.16,24,690.0,0,0.533,0.841,0,9.6,salaried,804.38,0.193,0
53,28208.31,32669.69,12,439.0,1,0.484,0.763,0,9.0,salaried,2722.47,1.158,1
60,27420.16,5269.29,36,559.0,0,0.688,0.415,0,13.4,business_owner,146.37,0.064,1
59,42005.1,7035.35,36,544.0,0,0.175,0.873,1,24.1,self_employed,195.43,0.056,1
38,34544.52,4000.39,24,736.0,1,0.82,0.247,2,7.4,self_employed,166.68,0.058,0
60,28746.69,8892.42,36,767.0,0,0.541,0.024,2,25.4,business_owner,247.01,0.103,0
21,40721.89,25330.98,12,818.0,1,0.633,0.433,0,21.7,self_employed,2110.92,0.622,0
31,43993.01,9548.78,12,701.0,0,0.746,0.92,2,7.9,self_employed,795.73,0.217,0
48,52622.17,6094.16,60,730.0,3,0.59,0.571,0,0.4,salaried,101.57,0.023,0
45,38102.69,15305.72,48,658.0,3,0.595,0.229,0,2.3,self_employed,318.87,0.1,0
43,29619.84,15543.86,36,605.0,0,0.67,0.651,1,26.5,salaried,431.77,0.175,1
51,30137.92,7257.35,24,553.0,2,0.094,0.745,0,24.2,salaried,302.39,0.12,1
50,89902.98,9861.29,12,545.0,0,0.375,0.55,2,11.4,salaried,821.77,0.11,0
62,26215.89,14622.93,12,527.0,1,0.868,0.843,1,1.9,business_owner,1218.58,0.558,1
55,58782.01,20901.83,12,716.0,1,0.269,0.592,2,24.3,business_owner,1741.82,0.356,0
27,63562.13,9051.42,48,613.0,1,0.511,0.096,0,7.7,business_owner,188.57,0.036,0
36,46136.62,8301.69,48,585.0,1,0.199,0.81,0,28.6,salaried,172.95,0.045,0
46,118647.78,42088.63,36,468.0,1,0.325,0.146,2,15.7,self_employed,1169.13,0.118,1
22,62998.08,11334.25,24,568.0,4,0.66,0.883,1,21.5,salaried,472.26,0.09,1
21,123186.1,15516.52,48,624.0,1,0.597,0.522,0,13.9,self_employed,323.26,0.031,1
32,35400.03,19712.71,60,512.0,1,0.402,0.732,0,0.8,salaried,328.55,0.111,1
25,35704.33,4572.74,48,889.0,4,0.847,0.972,2,1.9,business_owner,95.27,0.032,0
57,63816.6,13212.04,12,529.0,1,0.709,0.432,0,29.3,salaried,1101.0,0.207,1
52,43013.41,4976.94,24,754.0,3,0.278,0.46,0,12.4,self_employed,207.37,0.058,0
29,113872.28,12351.51,36,639.0,0,0.446,0.826,0,5.5,salaried,343.1,0.036,0
61,58154.01,30451.01,48,599.0,1,0.796,0.11,0,21.6,salaried,634.4,0.131,0
55,29077.29,7338.71,12,628.0,1,0.069,0.028,2,26.5,salaried,611.56,0.252,0
39,20570.06,4915.5,60,651.0,2,0.544,0.604,0,8.0,salaried,81.92,0.048,0
36,47140.17,41465.27,60,670.0,0,0.247,0.168,1,17.1,salaried,691.09,0.176,0
23,46884.31,6712.76,36,562.0,0,0.104,0.256,1,7.4,salaried,186.47,0.048,0
40,57347.41,5436.29,36,700.0,1,0.826,0.976,0,24.7,salaried,151.01,0.032,0
44,89800.45,35292.26,48,625.0,2,0.744,0.653,2,2.6,salaried,735.26,0.098,0
53,84082.74,6555.88,36,530.0,2,0.207,0.856,0,11.2,self_employed,182.11,0.026,0
44,36700.64,35844.61,12,611.0,3,0.761,0.898,1,11.4,self_employed,2987.05,0.977,1
31,25670.31,15747.78,12,778.0,1,0.174,0.121,3,19.1,business_owner,1312.32,0.613,0
28,26448.1,28864.69,12,670.0,2,0.455,0.928,2,5.3,salaried,2405.39,1.091,1
56,33914.54,14937.64,48,650.0,1,0.667,0.867,1,14.3,salaried,311.2,0.11,1
58,40808.03,25535.41,48,614.0,3,0.504,0.045,0,16.6,salaried,531.99,0.156,0
60,57098.38,7699.65,36,621.0,3,0.773,0.977,2,26.7,salaried,213.88,0.045,1
40,32843.73,9245.0,48,670.0,0,0.574,0.458,0,15.8,salaried,192.6,0.07,0
55,56398.4,3754.44,12,626.0,1,0.417,0.974,0,4.0,salaried,312.87,0.067,0
45,58748.45,23934.32,24,691.0,0,0.836,0.824,2,3.0,business_owner,997.26,0.204,0
55,52663.19,17184.13,12,679.0,4,0.081,0.44,2,27.7,salaried,1432.01,0.326,0
45,27880.66,7299.82,24,543.0,0,0.465,0.512,0,29.4,salaried,304.16,0.131,1
49,61939.5,4678.15,36,698.0,1,0.612,0.275,0,5.0,self_employed,129.95,0.025,0
38,138778.56,15820.91,60,564.0,1,0.761,0.487,2,22.5,salaried,263.68,0.023,0
38,55434.0,36518.44,48,560.0,0,0.51,0.107,0,7.5,salaried,760.8,0.165,1
22,11197.69,12298.39,48,648.0,0,0.803,0.909,0,25.0,salaried,256.22,0.275,1
